,outgoing_0,outgoing_1,outgoing_2,outgoing_3,outgoing_4,ingoing_0,ingoing_1,ingoing_2,ingoing_3,ingoing_4,balance_0,balance_1,balance_2,balance_3,balance_4,y_outgoing,y_ingoing,y_balance
0,-3927.5200000000004,-1704.7,-491.2,-484.0,-1474.29,4892.8,2610.5,485.0,1050.0,2229.0,-75414.08000000002,-51901.90000000001,-34025.399999999994,-15573.700000000003,-8676.6,-4293.889999999999,5150.0,-109637.19
1,-3322.0200000000004,-2148.7,-431.2,-100.0,-1474.29,4892.8,2610.5,1485.0,100.0,2179.0,-74448.8,-50996.10000000001,-34031.6,-15007.700000000003,-7921.89,-4899.389999999999,5150.0,-108781.08
2,-3322.0200000000004,-2183.2,-396.7,-100.0,-1482.46,4301.8,2610.5,1485.0,100.0,2179.0,-72878.02000000002,-50534.30000000001,-32977.799999999996,-15007.700000000003,-7217.18,-4527.49,5361.0,-108530.47
3,-6000.0,-2165.81,-2116.34,-6403.24,-4808.05,5976.0,2165.0,3900.0,6392.33,4820.4,-53019.44000000004,-53165.969999999994,-48863.02,31.129999999980086,24.139999999985008,-1644.5,1657.0,-52854.50000000002
4,-5835.0,-2165.81,-2116.34,-7944.03,-3267.26,5811.0,2165.0,3900.0,7892.33,3320.4,-53043.44000000004,-53166.77999999999,-47079.35999999999,20.219999999980054,36.4899999999852,-1809.5,1822.0,-52842.000000000015
5,-11425.650000000001,-12161.26,-16170.7,-10856.460000000003,-12439.99,12392.440000000002,10783.21,15757.94,12215.749999999998,12724.1,-35456.1200000001,-50652.390000000094,-47869.97000000003,-38411.91000000001,2691.1099999999615,-9390.27,10067.37,-15836.390000000078
6,-11078.18,-12432.23,-15926.7,-10982.730000000001,-12266.72,12345.010000000002,10783.21,16925.99,11047.699999999999,12724.1,-34489.33000000009,-52030.4400000001,-48282.73000000004,-37052.62000000001,2975.219999999962,-9443.769999999999,9310.849999999999,-15159.290000000077
7,-9447.34,-12522.759999999998,-16304.670000000002,-10423.53,-12338.509999999998,12345.010000000002,10812.849999999999,18420.52,9523.529999999999,12724.1,-33222.50000000009,-53679.460000000094,-47283.44000000003,-36987.65000000001,3432.599999999962,-10757.199999999997,8790.849999999999,-15292.210000000076
8,-10968.349999999997,-12657.29,-16420.879999999997,-8649.35,-12556.439999999999,13110.010000000002,12599.44,15976.18,9416.279999999999,12773.220000000001,-30324.830000000085,-55389.3700000001,-45167.59000000003,-37887.65000000001,3818.1899999999614,-10708.439999999999,8324.47,-17258.560000000078
9,-1116.35,-558.24,-630.66,-2621.78,-611.15,1110.2,508.9,803.7,2582.99,601.64,48844.759999999966,56394.33999999995,52286.25999999996,55759.93999999996,53593.47999999996,-277.43999999999994,116.59,57130.19999999993
10,-1113.11,-708.24,-2017.43,-1117.0100000000002,-678.39,1110.2,508.9,2303.7,1084.63,600.0,48838.609999999964,56344.99999999995,52459.29999999996,55721.14999999996,53583.969999999965,-277.97999999999996,116.59,56969.34999999993
11,-1089.4099999999999,-708.24,-2017.43,-1117.0100000000002,-803.98,1110.2,508.9,2303.7,1084.63,600.0,48835.69999999997,56145.659999999945,52745.56999999996,55688.76999999995,53505.57999999997,-301.67999999999995,116.59,56807.959999999934
12,-1056.05,-708.24,-2086.0900000000006,-1098.71,-753.62,1110.2,508.9,2303.7,1111.03,573.6,48856.48999999997,55946.31999999994,53031.83999999997,55656.38999999995,53301.59999999998,-335.03999999999996,116.59,56622.869999999944
13,-1098.3100000000002,-578.12,-2086.0900000000006,-1305.9599999999998,-560.97,1410.2,208.9,2303.7,1111.03,573.6,48910.63999999997,55746.979999999945,53249.44999999997,55668.70999999995,53121.57999999999,-422.9,116.59,56404.41999999995
